# Version = 1.0.1, Revision date = 12-Mar-2020
# Temperatures radially out from the centre of a nuclear waste rod, and it's surroundings, at different times.
# Radius(cm)	Initial Temp(K)	Temp(K)[1 yr]	Temp(K)[10 yrs]	Temp(K)[50 yrs]	Temp(K)[100 yrs]
51.515152	300.000000	300.326481	300.298381	300.200011	300.121373
52.525253	300.000000	300.317066	300.289777	300.194243	300.117873
53.535354	300.000000	300.307830	300.281336	300.188585	300.114440
54.545455	300.000000	300.298767	300.273053	300.183033	300.111071
55.555556	300.000000	300.289871	300.264922	300.177582	300.107763
56.565657	300.000000	300.281134	300.256937	300.172230	300.104515
57.575758	300.000000	300.272552	300.249094	300.166973	300.101325
58.585859	300.000000	300.264120	300.241387	300.161807	300.098190
59.595960	300.000000	300.255831	300.233812	300.156729	300.095108
60.606061	300.000000	300.247682	300.226364	300.151737	300.092079
61.616162	300.000000	300.239668	300.219040	300.146827	300.089099
62.626263	300.000000	300.231784	300.211834	300.141997	300.086168
63.636364	300.000000	300.224026	300.204744	300.137244	300.083284
64.646465	300.000000	300.216390	300.197765	300.132566	300.080446
65.656566	300.000000	300.208872	300.190895	300.127961	300.077651
66.666667	300.000000	300.201470	300.184130	300.123426	300.074899
67.676768	300.000000	300.194178	300.177466	300.118959	300.072188
68.686869	300.000000	300.186995	300.170901	300.114558	300.069518
69.696970	300.000000	300.179917	300.164431	300.110222	300.066886
70.707071	300.000000	300.172940	300.158055	300.105948	300.064293
71.717172	300.000000	300.166062	300.151770	300.101734	300.061736
72.727273	300.000000	300.159281	300.145572	300.097580	300.059215
73.737374	300.000000	300.152593	300.139460	300.093483	300.056728
74.747475	300.000000	300.145996	300.133430	300.089441	300.054276
75.757576	300.000000	300.139488	300.127482	300.085454	300.051856
76.767677	300.000000	300.133066	300.121613	300.081520	300.049469
77.777778	300.000000	300.126727	300.115820	300.077637	300.047113
78.787879	300.000000	300.120471	300.110102	300.073804	300.044787
79.797980	300.000000	300.114294	300.104457	300.070020	300.042490
80.808081	300.000000	300.108195	300.098883	300.066283	300.040223
81.818182	300.000000	300.102172	300.093378	300.062593	300.037984
82.828283	300.000000	300.096223	300.087941	300.058949	300.035772
83.838384	300.000000	300.090345	300.082569	300.055348	300.033587
84.848485	300.000000	300.084538	300.077262	300.051791	300.031428
85.858586	300.000000	300.078800	300.072018	300.048275	300.029295
86.868687	300.000000	300.073129	300.066835	300.044801	300.027187
87.878788	300.000000	300.067524	300.061712	300.041367	300.025103
88.888889	300.000000	300.061982	300.056648	300.037972	300.023043
89.898990	300.000000	300.056504	300.051640	300.034616	300.021006
90.909091	300.000000	300.051086	300.046689	300.031297	300.018992
91.919192	300.000000	300.045728	300.041793	300.028014	300.017000
92.929293	300.000000	300.040429	300.036949	300.024768	300.015030
93.939394	300.000000	300.035187	300.032159	300.021557	300.013081
94.949495	300.000000	300.030001	300.027419	300.018380	300.011153
95.959596	300.000000	300.024871	300.022730	300.015236	300.009246
96.969697	300.000000	300.019793	300.018090	300.012126	300.007358
97.979798	300.000000	300.014769	300.013498	300.009048	300.005490
98.989899	300.000000	300.009796	300.008953	300.006001	300.003642
100.000000	300.000000	300.004873	300.004454	300.002985	300.001812
